,num_convlstm,convlstm_filters,convlstm_kernels,convlstm_dropout,convlstm_rec_dropout,convlstm_kernel_reg,batchnorm,num_conv2d,conv2d_filters,conv2d_kernels,max_pooling,num_lstm,lstm_units,lstm_dropout,lstm_kernel_reg,learning_rate,GAP,RMSPE_NN,MAPE_NN,RMSPE_Clim,MAPE_Clim,Timesteps,Name,Params,Image Size
10,3,"(64, 64, 64)","((5, 5), (3, 3), (1, 1))",0.2,0.2,"(0.001, 0.001)",True,3,"(64, 64, 1)","((5, 5), (3, 3), (3, 3))",True,2,"(64, 64)",0.2,"(0.001, 0.001)",0.001,False,6.378983646318388,3.6989515224780334,8.699484480824045,4.645978212641726,3T,../../Results/Improvements/11/8_3T,1109506,"(25, 360)"
0,2,"(64, 64)","((3, 3), (1, 1))",0.2,0.2,"(0.001, 0.001)",True,3,"(64, 64, 1)","((5, 5), (3, 3), (1, 1))",True,2,"(64, 64)",0.2,"(0.001, 0.001)",0.001,True,6.15304569519613,3.5680413801041984,8.699484480824045,4.645978212641726,3T,../../Results/Improvements/12/0_3T,418434,"(50, 720)"
1,2,"(32, 32)","((3, 3), (1, 1))",0.2,0.2,"(0.001, 0.001)",True,3,"(64, 64, 1)","((5, 5), (3, 3), (1, 1))",True,2,"(64, 64)",0.2,"(0.001, 0.001)",0.001,True,6.278083582017745,3.5978848711399745,8.699484480824045,4.645978212641726,3T,../../Results/Improvements/12/2_3T,209794,"(50, 720)"
2,2,"(64, 64)","((3, 3), (1, 1))",0.2,0.2,"(0.001, 0.001)",True,3,"(128, 128, 1)","((5, 5), (3, 3), (1, 1))",True,2,"(64, 64)",0.2,"(0.001, 0.001)",0.001,False,6.180294616513353,3.579162257444774,8.699484480824045,4.645978212641726,3T,../../Results/Improvements/12/3_3T,1110018,"(50, 720)"
3,2,"(64, 64)","((3, 3), (1, 1))",0.2,0.2,"(0.001, 0.001)",True,3,"(32, 32, 1)","((5, 5), (3, 3), (1, 1))",True,2,"(64, 64)",0.2,"(0.001, 0.001)",0.001,False,6.267800547447387,3.682081461786588,8.699484480824045,4.645978212641726,3T,../../Results/Improvements/12/4_3T,817890,"(50, 720)"
4,2,"(64, 64)","((3, 3), (1, 1))",0.2,0.2,"(0.001, 0.001)",True,3,"(64, 64, 1)","((5, 5), (3, 3), (1, 1))",True,2,"(128, 128)",0.2,"(0.001, 0.001)",0.001,False,6.1527086685768495,3.564079629065536,8.699484480824045,4.645978212641726,3T,../../Results/Improvements/12/5_3T,1049154,"(50, 720)"
5,2,"(64, 64)","((3, 3), (1, 1))",0.2,0.2,"(0.001, 0.001)",True,3,"(64, 64, 1)","((5, 5), (3, 3), (1, 1))",True,2,"(32, 32)",0.2,"(0.001, 0.001)",0.001,False,6.388768954374324,3.668764599144098,8.699484480824045,4.645978212641726,3T,../../Results/Improvements/12/6_3T,857538,"(50, 720)"
6,3,"(64, 64, 64)","((5, 5), (3, 3), (1, 1))",0.2,0.2,"(0.001, 0.001)",True,3,"(64, 64, 1)","((5, 5), (3, 3), (1, 1))",True,2,"(64, 64)",0.2,"(0.001, 0.001)",0.001,True,6.253213101534769,3.6126590303826895,8.699484480824045,4.645978212641726,3T,../../Results/Improvements/12/7_3T,1053698,"(50, 720)"
7,3,"(64, 64, 64)","((5, 5), (3, 3), (1, 1))",0.2,0.2,"(0.001, 0.001)",True,4,"(64, 64, 64, 1)","((5, 5), (5, 5), (3, 3), (1, 1))",True,2,"(64, 64)",0.2,"(0.001, 0.001)",0.001,False,6.3001293926792,3.623393402326705,8.699484480824045,4.645978212641726,3T,../../Results/Improvements/12/8_3T,1539074,"(50, 720)"
8,3,"(64, 64, 64)","((5, 5), (3, 3), (1, 1))",0.2,0.2,"(0.001, 0.001)",True,3,"(64, 64, 1)","((5, 5), (3, 3), (1, 1))",True,3,"(64, 64, 64)",0.2,"(0.001, 0.001)",0.001,False,8.901511085842472,4.688668098312914,8.699484480824045,4.645978212641726,3T,../../Results/Improvements/12/9_3T,1517122,"(50, 720)"
9,2,"(64, 64)","((7, 7), (5, 5))",0.2,0.2,"(0.001, 0.001)",True,3,"(64, 64, 1)","((5, 5), (3, 3), (1, 1))",True,2,"(64, 64)",0.2,"(0.001, 0.001)",0.001,False,6.2495064717561934,3.6415592617795887,8.699484480824045,4.645978212641726,3T,../../Results/Improvements/12/13_3T,2437698,"(50, 720)"
